id,title,author,publisher,publication_year,category,isbn,quantity
59,Computer Concepts,June Jamrich Parsons,Cengage Learning,1996    ,Information Technology,978-1305409019,10
60,The Ballad of Songbirds and Snakes,Suzanne Collins,Scholastic Press,2020    ,Information Technology,978-1338635171,6
61,Ender's Shadow,Orson Scott Card,Tor Books,1999    ,Information Technology,978-0765342409,10
62,Blues For Mister Charlie,James Baldwin,Vintage,1964    ,Information Technology,978-0345806215,18
63,Systems Analysis and Design,Alan Dennis,Wiley,2000    ,Information Technology,978-1118057629,13
64,Romeo & Juliet,William Shakespeare,Simon & Schuster,1939    ,Information Technology,978-0743477116,9
65,Mona Lisa Overdrive,William Gibson,Spectra,1987    ,Information Technology,978-0553281743,1
66,The Difference Engine,William Gibson,Spectra,1990    ,Information Technology,978-0553299021,17
67,The Emperor's New Mind,Roger Penrose,Oxford University Press,1989    ,Information Technology,978-0192861986,4
68,Let's Get Invisible!,Robert Lawrence Stine,Scholastic,1993    ,Information Technology,978-0545298414,16
69,JavaScript,David Flanagan,O'Reilly Media,1996    ,Information Technology,978-1491952023,11
70,The Hunger Games Trilogy (Hunger Games / Catching Fire / Mockingjay),Suzanne Collins,Scholastic Press,2010    ,Information Technology,978-0545634694,20
71,Stand on Zanzibar,John Brunner,Orb Books,1968    ,Information Technology,978-0765326782,8
72,Learning Python,Mark Lutz,O'Reilly Media,1999    ,Information Technology,978-1449355739,19
73,Intermediate algebra,Margaret L. Lial,Pearson,1972    ,Information Technology,978-0321969354,10
74,C++,Herbert Schildt,McGraw-Hill Education,1987    ,Information Technology,978-0078824760,10
75,Trois contes,Gustave Flaubert,Penguin Classics,1877    ,Information Technology,978-0140441659,10
76,Don Giovanni,Wolfgang Amadeus Mozart,Dover Publications,1800    ,Information Technology,978-0486211343,19
77,The Code Book,Simon Singh,Anchor,1999    ,Information Technology,978-0385495325,5
78,Marketing research,Naresh K. Malhotra,Pearson,1993    ,Information Technology,978-0134734842,20
79,Discrete Mathematics and Its Applications,Kenneth H. Rosen,McGraw-Hill Education,1988    ,Information Technology,978-1259676512,10
80,Stick Man,Julia Donaldson,Scholastic,2001    ,Information Technology,978-0439926614,11
81,Operating System Concepts,Abraham Silberschatz,Wiley,1988    ,Information Technology,978-1118063330,20
82,Battle royale,Kōshun Takami,VIZ Media LLC,1999    ,Information Technology,978-1569317785,8
83,Structure and Interpretation of Computer Programs (SICP),Harold Abelson,MIT Press,1985    ,Information Technology,978-0262510875,9
84,Discrete Mathematics with Applications,Susanna S. Epp,Cengage Learning,1990    ,Information Technology,978-1337694193,8
85,Introduction to Algorithms,Thomas H. Cormen,MIT Press,1990    ,Information Technology,978-0262033848,14
86,The C++ programming language,Bjarne Stroustrup,Addison-Wesley,1986    ,Information Technology,978-0321563842,7
87,Getting to yes,Roger Drummer Fisher,Penguin Books,1981    ,Information Technology,978-0143118756,18
88,The Innovators,Walter Isaacson,Simon & Schuster,2014    ,Information Technology,978-1476708706,14
89,The Gene,Siddhartha Mukherjee,Simon & Schuster,2016    ,Information Technology,978-1476733500,9
90,Computer science,J. Glenn Brookshear,Pearson,1985    ,Information Technology,978-0133760064,18
91,The miseducation of Cameron Post,Emily M. Danforth,Balzer + Bray,2012    ,Information Technology,978-0062020574,13
92,Storm of the Century,Stephen King,Pocket Books,1999    ,Information Technology,978-1501192036,12
93,Hackers,Steven Levy,O'Reilly Media,1984    ,Information Technology,978-1449388393,7
94,Mathematical structures for computer science,Judith L. Gersting,W. H. Freeman,1982    ,Information Technology,978-1429215107,10
95,How computers work,Ron White,Que Publishing,1993    ,Information Technology,978-0789749840,13
96,Teaching and learning with technology,Judy Lever-Duffy,Pearson,2002    ,Information Technology,978-0133594041,16
97,Bobby Fischer Teaches Chess,Bobby Fischer,Bantam,1966    ,Information Technology,978-0553263152,4
98,Eloquent Javascript,Marijn Haverbeke,No Starch Press,2009    ,Information Technology,978-1593279509,3
99,The Brilliant World of Tom Gates,Liz Pichon,Scholastic,2011    ,Information Technology,978-1407120690,9
100,Luces de bohemia,Ramón del Valle Inclán,Manchester Univ Press,1924    ,Information Technology,978-0719006128,9
101,The Psychology of Everyday Things,Donald A. Norman,Basic Books,1988    ,Information Technology,978-0465067107,9
102,Clean Code,Robert C. Martin,Prentice Hall,2008    ,Information Technology,978-0132350884,13
103,The art of computer programming,Donald Knuth,Addison-Wesley,1968    ,Information Technology,978-0321751041,1
104,Goals! How to Get Everything You Want--Faster Than You Ever Thought Possible,Brian Tracy,Berrett-Koehler,2003    ,Information Technology,978-1605094113,13
105,Design Patterns,Erich Gamma,Addison-Wesley,1995    ,Information Technology,978-0201633610,6
106,Digital image processing,Rafael C. Gonzalez,Pearson,1977    ,Information Technology,978-0133356724,10
107,The Shallows,Nicholas Carr,W. W. Norton & Co,2010    ,Information Technology,978-0393339758,5
108,Diaspora,Greg Egan,Orion,1997    ,Information Technology,978-0575081376,1
109,Dork Diaries 7,Rachel Renée Russell,Aladdin,2014    ,Information Technology,978-1442482395,13
110,Reamde,Neal Stephenson,William Morrow,2011    ,Information Technology,978-0062015846,8
111,Programming in ANSI C,E. Balagurusamy,McGraw Hill Education,1994    ,Information Technology,978-9339219666,17
112,Python,Mark Lutz,O'Reilly Media,1998    ,Information Technology,978-1449355739,20
113,Think Python,Allen B. Downey,O'Reilly Media,2009    ,Information Technology,978-1491939369,20
114,Storytelling with Data,Cole Nussbaumer Knaflic,Wiley,2015    ,Information Technology,978-1119002253,16
115,Armada,Ernest Cline,Crown,2015    ,Information Technology,978-0804137256,5
116,The Visual Display of Quantitative Information,Edward R. Tufte,Graphics Press,1983    ,Information Technology,978-0961392147,17
117,Object-oriented Programming with C++,E. Balagurusamy,McGraw Hill Education,1997    ,Information Technology,978-9352607990,12
118,George's Secret Key to the Universe,Stephen Hawking,Simon & Schuster,1998    ,Information Technology,978-1416954620,4
119,Superintelligence,Nick Bostrom,Oxford University Press,2014    ,Information Technology,978-0198739838,10
120,The art of game design,Jesse Schell,CRC Press,2008    ,Information Technology,978-1138632059,1
121,"Learning PHP, MySQL & JavaScript",Robin Nixon,O'Reilly Media,2009    ,Information Technology,978-1491978917,2
122,Designing Data-Intensive Applications,Martin Kleppmann,O'Reilly Media,2017    ,Information Technology,978-1449373320,18
123,Code Complete,Steve McConnell,Microsoft Press,1993    ,Information Technology,978-0735619678,2
124,The web application hacker's handbook,Dafydd Stuttard,Wiley,2007    ,Information Technology,978-1118026472,16
125,Discrete mathematics,Richard Johnsonbaugh,Pearson,1984    ,Information Technology,978-0321964687,1
126,Discrete Mathematical Structures,Bernard Kolman,Pearson,1996    ,Information Technology,978-0132297516,20
127,"An English translation of Parsifal, the sacred festival drama by Richard Wagner",Richard Wagner,Calder Publications,1879    ,Information Technology,978-0714541334,7
128,Clean Architecture,Robert C. Martin,Prentice Hall,2017    ,Information Technology,978-0134494166,19
129,Masters of Doom,David Kushner,Random House,2003    ,Information Technology,978-0812972153,5
130,The Pragmatic Programmer,Andy Hunt,Addison-Wesley,1999    ,Information Technology,978-0135957059,12
131,Code,Charles Petzold,Microsoft Press,1999    ,Information Technology,978-0137909100,1
132,Gray Hat Hacking,Shon Harris,McGraw-Hill Education,2004    ,Information Technology,978-1260108415,17
133,Fluent Python,Luciano Ramalho,O'Reilly Media,2015    ,Information Technology,978-1491946008,1
134,Operations research,Hamdy A. Taha,Pearson,1971    ,Information Technology,978-0134444017,12
135,Python Cookbook,Alex Martelli,O'Reilly Media,2002    ,Information Technology,978-1449311629,4
136,Computer Science,Carl French,Cengage Learning,1989    ,Information Technology,978-0826454607,9
137,Object-Oriented Software Engineering,Ivar Jacobson,Addison-Wesley,1992    ,Information Technology,978-0201544350,6
138,Database system concepts,Abraham Silberschatz,McGraw-Hill Education,1997    ,Information Technology,978-0073523323,16
139,Automate the Boring Stuff with Python,Al Sweigart,No Starch Press,2015    ,Information Technology,978-1593275990,18
140,Microprocessors and interfacing,Douglas V. Hall,McGraw-Hill,1900    ,Information Technology,978-0070257429,15
141,Programming Python,Mark Lutz,O'Reilly Media,1996    ,Information Technology,978-0596158101,18
142,All Systems Red,Martha Wells,Tordotcom,2017    ,Information Technology,978-0765397522,1
143,Domain-Driven Design,Eric Evans,Addison-Wesley,2003    ,Information Technology,978-0321125217,13
144,Radio Silence,Alice Oseman,HarperCollins,2016    ,Information Technology,978-0007559245,3
145,Desire Never Changes,Penny Jordan,Harlequin,1986    ,Information Technology,978-0373111442,11
146,Fundamentals of Data Structures in C++ 2nd Edition,Ellis Horowitz,Silicon Press,2006    ,Information Technology,978-0929306377,17
147,Rogue Protocol,Martha Wells,Tordotcom,2018    ,Information Technology,978-1250191786,12
148,The Mythical Man-Month,Frederick P. Brooks,Addison-Wesley,1975    ,Information Technology,978-0201835953,13
149,Programming with Java,E. Balagurusamy,McGraw Hill Education,2001    ,Information Technology,978-9353162337,2
150,Python For Data Analysis,Wes McKinney,O'Reilly Media,2012    ,Information Technology,978-1491957660,5
151,Don't Make Me Think,Steve Krug,New Riders,2000    ,Information Technology,978-0321965516,19
152,JavaScript and jQuery,Jon Duckett,Wiley,2014    ,Information Technology,978-1118531648,5
153,Java,Herbert Schildt,McGraw-Hill Education,1997    ,Information Technology,978-1259589331,3
154,Life 3.0,Max Tegmark,Knopf,2017    ,Information Technology,978-1101946596,20
155,Human Compatible,Stuart J. Russell,Viking,2019    ,Information Technology,978-0525558613,18
156,Linear Algebra with Applications,Gareth Williams,Jones & Bartlett,1984    ,Information Technology,978-1284120097,1
157,AI superpowers,Kai-Fu Lee,Houghton Mifflin Harcourt,2018    ,Information Technology,978-1328546395,5
158,Artificial Condition,Martha Wells,Tordotcom,2018    ,Information Technology,978-1250186959,1
159,Down the rabbit hole,Holly Madison,William Morrow,2015    ,Information Technology,978-0062372109,8
160,Motivation and goal-setting,Jim Cairo,Career Press,1989    ,Information Technology,978-1564143648,14
161,Daemon,Daniel Suarez,Dutton,2009    ,Information Technology,978-0525951117,16
162,C programming,K. N. King,W. W. Norton & Co,1996    ,Information Technology,978-0393979503,14
163,Deep Learning,Ian Goodfellow,MIT Press,2016    ,Information Technology,978-0262035613,7
164,100 Ways to Motivate Yourself,Steve Chandler,Career Press,1996    ,Information Technology,978-1601632449,14
165,The World of Ice & Fire,George R. R. Martin,Bantam,2014    ,Information Technology,978-0553805444,6
166,Back to the Batcave,Adam West,Berkley,1994    ,Information Technology,978-0425143704,6
167,Government by the people,James MacGregor Burns,Pearson,1952    ,Information Technology,978-0205865789,3
168,Data science from scratch,Joel Grus,O'Reilly Media,2015    ,Information Technology,978-1492041139,15
169,Head first Java,Kathy Sierra,O'Reilly Media,2003    ,Information Technology,978-1491910771,4
170,Software engineering,Shari Lawrence Pfleeger,Pearson,1987    ,Information Technology,978-0136061694,12
171,Let Us C++,Yashavant Kanetkar,BPB Publications,2002    ,Information Technology,978-9388176644,2
172,Judy Moody Saves the World!,Megan McDonald,Candlewick,2002    ,Information Technology,978-0763648534,6
173,Data Structures and Algorithms Made Easy,Narasimha Karumanchi,CareerMonk,2011    ,Information Technology,978-8193245279,1
174,Network Effect,Martha Wells,Tordotcom,2020    ,Information Technology,978-1250229861,9
175,Artificial Intelligence and Intelligent Systems,N. P. Padhy,Oxford University Press,2005    ,Information Technology,978-0195671544,19
176,Lehninger principles of biochemistry,Albert L. Lehninger,W. H. Freeman,2000    ,Information Technology,978-1464126116,13
177,How to Be Your Own Therapist,Patricia Farrell,Barnes & Noble,2002    ,Information Technology,978-0760790755,10
178,"Introduction to automata theory, languages, and computation",John E. Hopcroft,Pearson,1979    ,Information Technology,978-0321455369,13
179,PHP & MySQL,Jon Duckett,Wiley,2019    ,Information Technology,978-1119149224,14
180,"Compilers, principles, techniques, and tools",Alfred V. Aho,Pearson,1986    ,Information Technology,978-0321486813,9
181,The animator's survival kit,Richard Williams,Faber & Faber,2001    ,Information Technology,978-0571238347,14
182,Friends 'Til the End,David Wild,Headline,2004    ,Information Technology,978-0755313211,13
183,Schaum's outline of theory and problems of data structures,Seymour Lipschutz,McGraw-Hill Education,1986    ,Information Technology,978-0071818735,8
184,The wealth of networks,Yochai Benkler,Yale University Press,2006    ,Information Technology,978-0300121575,8
185,Scrum,Jeff Sutherland,Currency,2014    ,Information Technology,978-0385346450,9
186,The DevOps handbook,Gene Kim,IT Revolution Press,2016    ,Information Technology,978-1942788003,1
187,Python crash course,Eric Matthes,No Starch Press,2015    ,Information Technology,978-1593279288,10
188,Engineering mathematics,K. A. Stroud,Red Globe Press,1970    ,Information Technology,978-1352010275,11
189,Black Hat Python,Justin Seitz,No Starch Press,2014    ,Information Technology,978-1593275907,16
190,The Secret Diary of Laura Palmer,Jennifer Lynch,Gallery Books,1990    ,Information Technology,978-1451662078,15
191,Introduction to Machine Learning with Python,Andreas C. Mueller,O'Reilly Media,2016    ,Information Technology,978-1449369415,5
192,Fugitive Telemetry,Martha Wells,Tordotcom,2021    ,Information Technology,978-1250765376,20
193,Calculus with analytic geometry,Ron Larson,Cengage Learning,1979    ,Information Technology,978-1285057095,17
194,The world history of animation,Stephen Cavalier,University of California Press,2011    ,Information Technology,978-0520261129,19
195,Let us C,Yashavant P. Kanetkar,BPB Publications,2007    ,Information Technology,978-9387284494,6
196,The Program,Suzanne Young,Simon Pulse,2013    ,Information Technology,978-1442445819,5
197,National health programs of India,J. Kishore,Century Publications,2011    ,Information Technology,978-8188132928,10
198,C how to program,Harvey M. Deitel,Pearson,1992    ,Information Technology,978-0133976892,16
199,Computer Fundamentals and Programming in C,Reema Thareja,Oxford University Press,2012    ,Information Technology,978-0199463732,12
200,Gravity Falls,Alex Hirsch,Disney Press,2016    ,Information Technology,978-1484746691,10
201,The clean coder,Robert C. Martin,Prentice Hall,2011    ,Information Technology,978-0137081073,1
202,Universe,Roger A. Freedman,W. H. Freeman,2001    ,Information Technology,978-1319039448,16
203,UNIX System Programming Using C++,Terrence Chan,Prentice Hall,1997    ,Information Technology,978-0133315622,6
204,The Manager's Path,Camille Fournier,O'Reilly Media,2017    ,Information Technology,978-1491973899,19
205,Introducing Computers,Robert H. Blissmer,Wiley,1988    ,Information Technology,978-0471113584,7
206,Javascript,Andy Vickler,Independent,2021    ,Information Technology,978-1675764350,12
207,Richard Wagner über Tristan und Isolde,Richard Wagner,Reclam,1800    ,Information Technology,978-3150077405,4
208,Paths to recovery,"Al-Anon Family Group Headquarters, inc",Al-Anon Family Group,1997    ,Information Technology,978-0910034319,12
209,Sanford Meisner on acting,Sanford Meisner,Vintage,1987    ,Information Technology,978-0394750590,1
210,Robinson Crusoe,Daniel Defoe,Penguin Classics,1686    ,Information Technology,978-0141439822,3
211,"Python Crash Course, 2nd Edition",Eric Matthes,No Starch Press,2019    ,Information Technology,978-1593279288,5
212,Dangerous Lies,Becca Fitzpatrick,Simon & Schuster,2015    ,Information Technology,978-1481450775,9
213,Twelfth night,William Shakespeare,Simon & Schuster,1873    ,Information Technology,978-0743477123,18
214,Natural language processing and information retrieval,Tanveer Siddiqui,Oxford University Press,2008    ,Information Technology,978-0195692327,11
215,Mastering Bitcoin: Unlocking Digital Cryptocurrencies,Andreas M. Antonopoulos,O'Reilly Media,2014    ,Information Technology,978-1491954386,9
216,Pathways Through Science (Nuffield Modular Science),Nuffield-Chelsea Curriculum Trust,Longman,1992    ,Information Technology,978-0582048416,5
217,Head First design patterns,Eric Freeman,O'Reilly Media,2004    ,Information Technology,978-0596007126,17
218,The Singularity Is Near,Ray Kurzweil,Penguin Books,2005    ,Information Technology,978-0143037880,13
219,Operating systems,Stuart E. Madnick,McGraw-Hill,1974    ,Information Technology,978-0070394551,20
220,Stillwatch,Mary Higgins Clark,Simon & Schuster,1982    ,Information Technology,978-0671469528,11
221,Interactive Computing Series,Kenneth C. Laudon,McGraw-Hill,1997    ,Information Technology,978-0072340808,16
222,Grokking Algorithms: An illustrated guide for programmers and other curious people,Aditya Y. Bhargava,Manning Publications,2016    ,Information Technology,978-1617292231,19
223,"Der fliegende Holl""ander =",Richard Wagner,Boosey & Hawkes,1856    ,Information Technology,978-1480304673,20
224,The Waite Group's Turbo C programming for the PC,Robert Lafore,Sams Publishing,1988    ,Information Technology,978-0672226144,17
225,Much Ado about Nothing,William Shakespeare,Simon & Schuster,1845    ,Information Technology,978-0743482752,5
226,Cyber Security,Martti Lehto,Springer,2015    ,Information Technology,978-3319711584,15
227,Fundamentals of data structures in C,Ellis Horowitz,Silicon Press,1993    ,Information Technology,978-0929306407,3
228,Advances in Computers,Marshall C. Yovits,Academic Press,1971    ,Information Technology,978-0120121335,5
229,Meg,Steve Alten,Bantam,1997    ,Information Technology,978-0553579109,10
230,Course ILT,Course Technology,Cengage Learning,2000    ,Information Technology,978-1418843939,1
231,Warcross,Marie Lu,G.P. Putnam's Sons,2017    ,Information Technology,978-0399547966,2
232,Python Data Science Handbook,Jake VanderPlas,O'Reilly Media,2016    ,Information Technology,978-1491912058,18
233,Effective Java,Joshua Bloch,Addison-Wesley,2001    ,Information Technology,978-0134685991,14
234,Fundamentals of Signals and Systems Using the Web and Matlab,Edward W. Kamen,Pearson,2000    ,Information Technology,978-0131687370,18
235,The circulatory story,Mary K. Corcoran,Charlesbridge,2009    ,Information Technology,978-1570913891,5
236,Objects first with Java,David J. Barnes,Pearson,2002    ,Information Technology,978-0134477329,15
237,Invitation to Computer Science,G. Michael Schneider,Cengage Learning,1995    ,Information Technology,978-1337561914,19
238,Basic materials in music theory,Paul O. Harder,Pearson,1965    ,Information Technology,978-0131931008,9
239,Resolution Trust Corporation,United States. General Accounting Office,GAO,1990    ,Information Technology,978-1243542564,1
240,Hunger of memory,Richard Rodriguez,David R. Godine,1982    ,Information Technology,978-1567922707,3
241,The Gregg Reference Manual,William A. Sabin,McGraw-Hill Education,1970    ,Information Technology,978-0073397108,3
242,Othello,William Shakespeare,Simon & Schuster,1941    ,Information Technology,978-0743477550,7
243,C++ Programming,D. S. Malik,Cengage Learning,2004    ,Information Technology,978-1337115667,2
244,Archimedes and the door of science,Jeanne Bendick,Bethlehem Books,1962    ,Information Technology,978-1883937126,7
245,Lazarus - the complete guide,Michaël van Canneyt,ILA,2011    ,Information Technology,978-9081277303,5
246,Encyclopedia of modern bodybuilding,Arnold Schwarzenegger,Simon & Schuster,1985    ,Information Technology,978-0684857213,17
247,Differentiating Instruction With Menus,Laurie E. Westphal,Prufrock Press,2007    ,Information Technology,978-1593632144,8
248,Bodas de sangre,Federico García Lorca,Penguin Classics,1944    ,Information Technology,978-0141189338,2
249,"A study of Hamlet, Prince of Denmark",William Shakespeare,Oxford University Press,1800    ,Information Technology,978-0199535811,7
250,The Linux Command Line,William E. Shotts,No Starch Press,2011    ,Information Technology,978-1593273897,16
251,The Book of Why,Judea Pearl,Basic Books,2018    ,Information Technology,978-0465097609,2
252,The Atrocity Archives,Charles Stross,Ace,2004    ,Information Technology,978-0441013654,14
253,Numerical methods for engineers,Steven C. Chapra,McGraw-Hill Education,1985    ,Information Technology,978-0073397924,8
254,Calling All Creeps!,Robert Lawrence Stine,Scholastic,1996    ,Information Technology,978-0590494465,13
255,Data structures and algorithms,Alfred V. Aho,Addison-Wesley,1983    ,Information Technology,978-0201000238,7
256,Computational Linguistics and Intelligent Text Processing,Alexander Gelbukh,Springer,2003    ,Information Technology,978-3642191404,1
257,Cracking The Coding Interview,Gayle Laakmann McDowell,CareerCup,2010    ,Information Technology,978-0984782857,2
258,Tom Clancy's Net Force,Tom Clancy,Berkley,1998    ,Information Technology,978-0425161722,9
259,The Cathedral and the Bazaar,Eric S. Raymond,O'Reilly Media,1999    ,Information Technology,978-0596001087,4
260,Die Verfolgung und Ermordung Jean Paul Marats,Peter Weiss,Suhrkamp,1964    ,Information Technology,978-3518100684,3
261,Intelligent Robotics and Applications,Honghai Liu,Springer,2010    ,Information Technology,978-3642165832,17
262,Core Python programming,Wesley Chun,Prentice Hall,2006    ,Information Technology,978-0132269933,5
263,Artificial intelligence,George F. Luger,Pearson,1992    ,Information Technology,978-0321545701,9
264,Refactoring,Martin Fowler,Addison-Wesley,1999    ,Information Technology,978-0134757599,18
265,Learn to Program using Lazarus,Howard Page-Clark,Independent,2013    ,Information Technology,978-1542456678,13
266,System Design Interview - an Insider's Guide,Alex Xu,ByteByteGo,2020    ,Information Technology,978-1736049112,8
267,The Illuminati,Larry Burkett,Thomas Nelson,1991    ,Information Technology,978-0785267072,12
268,The Art of Seo,Eric Enge,O'Reilly Media,2009    ,Information Technology,978-1491948965,11
269,Faust,Charles Gounod,G. Schirmer,1800    ,Information Technology,978-0793521364,19
270,Java for dummies,Barry Burd,For Dummies,2011    ,Information Technology,978-1119235552,11
271,Codependents' guide to the twelve steps,Melody Beattie,Fireside,1990    ,Information Technology,978-0671761059,14
272,Microserfs,Douglas Coupland,Harper Perennial,1995    ,Information Technology,978-0061624261,20
273,Languages and machines,Thomas A. Sudkamp,Pearson,1988    ,Information Technology,978-0321322210,17
274,Accounting information systems,Marshall B. Romney,Pearson,1997    ,Information Technology,978-0134474021,8
275,In the Beginning...Was the Command Line,Neal Stephenson,Avon,1999    ,Information Technology,978-0380815937,3
276,Side by Side,Steven J. Molinsky,Pearson,1980    ,Information Technology,978-0131839359,16
277,Excel VBA Programming For Dummies,John Walkenbach,For Dummies,2004    ,Information Technology,978-1119077398,19
278,Systems engineering and analysis,Benjamin S. Blanchard,Pearson,1981    ,Information Technology,978-0132217354,19
279,Extreme programming explained,Kent Beck,Addison-Wesley,1999    ,Information Technology,978-0321278906,8
280,Computer Confluence,George Beekman,Pearson,1997    ,Information Technology,978-0131848573,3
281,Business @ the speed of thought,Bill Gates,Warner Books,1999    ,Information Technology,978-0446675963,4
282,IBM PC assembly language and programming,"Abel, Peter",Prentice Hall,1991    ,Information Technology,978-0130306555,15
283,The Human Use of Human Beings,Norbert Wiener,Da Capo Press,1950    ,Information Technology,978-0306803208,18
284,Allen Carr's Easy Way to Stop Smoking,Allen Carr,Sterling,1998    ,Information Technology,978-0615145792,4
285,Java software solutions,"Lewis, John",Pearson,1997    ,Information Technology,978-0134462028,7
286,The art of doing science and engineering,Richard Hamming,Stripe Press,1996    ,Information Technology,978-1732265172,2
287,#MurderTrending,Gretchen McNeil,Freeform,2018    ,Information Technology,978-1368010023,2
